Article Title,Category,references,query_1,query_2
劉芹,1514年出生,劉芹（1514年—？ 年），字子獻，四川敘州府宜賓縣人，明朝政治人物。 治《詩經》，由縣學生中式四川鄉試第六十七名舉人，年三十四歲中式嘉靖二十六年丁未科會試第五十四名，第二甲第四十六名進士。 曾祖劉節明；祖劉汝釗；父劉海川；母劉氏；繼母姚氏。 ### 慈侍下，妻馮氏，行四，兄佐；達；芥。,劉芹在嘉靖二十六年的會試中是以什麼名次獲得進士的？,
无敌9号,2.5D畫面電子遊戲,《无敌9号》（英语：Mighty No. 9，中国大陆译作“无敌9号”，香港和台湾译作“麥提9號”）是一款由Comcept与Inti Creates开发，由Deep Silver發行的动作平台游戏，於2016年6月21日上市。 本作是《洛克人》系列原制作人稻船敬二離開原任職的卡普空后，首次透過众筹开发的游戏作品。 游戏于2013年9月在众筹网站Kickstarter上公布，并最终成功获得了380余万美元的筹款。 由于本作的游戏类型以及人物设定都与著名游戏系列《洛克人》系列相似，而稻船敬二也参与了绝大部分《洛克人》系列作品的开发，所以本作也被玩家當作《洛克人》的精神续作。 ### 《无敌9号》采用虚幻引擎3开发，最初计划仅登陆Windows平台，而在稍后的众筹期间陆续加入了绝大部分的主流游戏平台，并在众筹后期加入了任天堂3DS和PlayStation Vita等掌机平台。 游戏原计划于2015年4月发售，不过遭遇了多次延期，最终在2016年6月21日发售家用主机與Microsoft Windows版本，Linux、OS X於2016年8月25日发售。 其中Xbox One、PlayStation 4、Steam版本的遊戲支援中文。 2017年6月，Comcept表示本作的任天堂3DS與PlayStation Vita版本預計於2017年末發售，但自此無後續消息。 ### 隨著2020年任天堂3DS的遊戲卡匣停產、與2023年任天堂eShop關閉，本作將無法發行任天堂3DS版本。 在遊戲通關的製作人員名單中，七萬多名Kickstarter募捐支持者的名字被寫入其中，使其片尾名單長達3小時48分鐘。 在機器人産業發達的未來世界，一日因為不明電腦病毒的關係導致「懷特博士」所開發一系列機器全數失控，唯有麥提 9 號：貝克（Beck）並未失去理智。 為了拯救世界免於被機器人大軍所毀滅，他將前往各個戰場阻止失控的同伴們…… 《无敌9号》在首次公开后就收到了极大的关注，但是随着多次延期以及Comcept在延期期间又推出的另一个类似的众筹项目《红烬（英语：Red Ash: The Indelible Legend）》，使得游戏受到了管理不善等指责的声音。 ### 游戏在发售后获得了较为负面的评价，业界评论对本作的关卡设计、画面、内容、配音和技术Bug都给予了批评，许多参与众筹的人士也对本作没有达到此前承诺的水平感到失望和不满。 日本電子遊戲雜誌《Fami通》對本作給出相對較高的評價，並給予30/40分。,《无敌9号》在开发过程中经历了哪些平台扩展和发售日期的变更？,《无敌9号》在发售后受到哪些具体方面的批评和评价？
安第斯龍屬,1991年描述的分類群,安第斯龍屬（屬名：Andesaurus，意為「安地斯山脈的蜥蜴」）是原始泰坦巨龍類恐龍的一個屬，生存於白堊紀的南美洲。 牠有著小型頭部與長頸部，及長度相近的尾巴。 就如牠的其他近親，安第斯龍是一種非常大型的蜥腳下目恐龍。 在1991年，古生物學家Jorge Calvo及約瑟·波拿巴（Jose Bonaparte）命名了安第斯龍，意指化石是從接近安第斯山脈的地方被發現。 ### 安第斯龍屬的模式種德氏安第斯龙（A. delgadoi）則是以發現它的化石的亞历杭德羅·德尔加多（Alejandro Delgado）來命名。 安第斯龍的唯一已知化石是一個部分骨骼，包含了一列的4節後段背椎，以及分為兩段的27節尾椎。 中段尾椎的椎體延長。 也有發現骨盆化石，例如坐骨、恥骨，以及肋骨碎片、不完整的肱骨及股骨。 ### 這些化石都是發現於阿根廷內烏肯省內的內烏肯組最老的地層：Candeleros地層。 這個地層是白堊紀的森諾曼階早期，約於1億到9700萬年前。 這個地層的大部份都是網狀河沉積層，除了安第斯龍外，亦有發現其他恐龍，如鹫龙、南方巨獸龍及利邁河龍。 安第斯龍有幾種原始的特徵，使得牠被認為是泰坦巨龍類的最原始物種。 ### 事實上，這個分支的定義包括了安第斯龍、薩爾塔龍、牠們的最近共同祖先、以及最近共同祖先的所有後代。 最明顯的祖徵性是尾椎的關節。 在大部份進階的泰坦巨龍類恐龍，尾椎關節是球窩關節，而關節窩在前方。 但安第斯龍的尾椎兩面都是平的，就像其他的非泰坦巨龍類恐龍。 ### 安第斯龍本身只有一個特徵，就是在其脊椎上高的神經棘，而這個特徵還須更多的研究。 一些發現於阿根廷的其他原始泰坦巨龍類恐龍，包括阿根廷龍及普爾塔龍，都是蜥腳下目的巨型恐龍。 而進階的泰坦巨龍類薩爾塔龍科，就包含了一些其他小型的蜥腳下目恐龍及薩爾塔龍本身。 所以在泰坦巨龍類的原始物種最有可能是大型的恐龍。,安第斯龍的化石發現地點有什麼特別之處？這些地層還發現了哪些其他恐龍？,安第斯龍在演化樹上的位置是如何確定的？它的哪些特徵使它被認為是最原始的泰坦巨龍類恐龍之一？
胡露茜,使用ISBN魔术链接的页面,胡露茜博士（英語：Dr. Rose WU），香港人，基督教神學教育工作者，女性主義者，香港中文大學崇基學院神學院的教師，曾任香港基督徒學會的總幹事、香港婦女基督徒協會發起人、民間人權陣線的第一任召集人，曾在2003年推動2003年香港七一遊行。 2021年離港定居美國。 胡露茜，1983年開始自費到崇基神學組攻讀神學，1988年畢業，獲神道學學士（Bachelor of Divinity）學位，同年成立婦女基督徒協會，並發表「婦女支持八八直選宣言」。 1997年後，她趁美國波士頓聖公會神學院修讀教牧學博士，受業於卡達希活（Carter Heywood）門下，專注研究女性主義和酷兒神學（Queer Theology）。 ### 2002年開始以兼職形式在香港中文大學崇基學院神學院任教三個課程：「基督教與女性主義神學」、「教會與婦女」、以及「倫理、教會與性」，直至2017年宣佈退休。 2000年至2007年，她出任香港基督徒學會總幹事。 胡露茜一直積極參與社會運動，有份發起成立支聯會，是支聯會第一屆常委中的唯一女性，亦是「民間人權陣線」第一任總召集人。 在神學上她支持女性主義神學、同志神學及酷兒神學。,胡露茜在推動女性主義神學和酷兒神學方面有何具體貢獻？,胡露茜在香港基督徒學會和民間人權陣線中的角色和影響如何？
卡爾達哈,CS1法语来源 (fr),卡爾達哈（阿拉伯语：قرداحة‎ / 罗马字转写: Qardāḥah）（法語：Cardaha）是一个叙利亚西北部的村落，位于可以看到拉塔基亚省海边城市的山地。 根据2004年的数据，该村落有8671人居住。 卡爾達哈是长期统治叙利亚的阿萨德家族的家乡，故總統哈菲茲·阿薩德父子皆安葬於卡爾達哈的家族陵寢。 当地的主要信仰是伊斯兰教阿拉维派。 ### 卡爾達哈最热的月份是7月，平均气温达到29摄氏度；最冷的月份是1月，平均气温大约是7摄氏度。 该地年平均降水量大约是828毫米，1月大约有3天会降雪。,卡爾達哈在2004年的居住人口是多少？这个村落有什么重要的历史背景？,
王進洋,CS1英语来源 (en),"王進洋（英語：Wong Chun-yeung，1994年6月10日—），香港民主派人士，前任香港離島區議會東涌南選區議員，是社區組織東涌人成員。 王於一歲多時隨父母及三兄姐搬入富東邨。 2010年受五區公投啟發開始關心時事，其後選上學生會副主席，開設網絡民主牆，更曾經收集了幾百個學生簽名要求罷免副校長。 其後亦曾為社民連擔任義工，至雨傘革命後期決定於2015年參選區議會。 ### 2015年區議會選舉，東涌南區議員周轉香不再競選連任，民建聯副主席兼離島區末代委任議員周浩鼎與王進洋對決，此為王進洋首次參選區選會選舉，王進洋最終取得1,917票，以244票之差不敵民建聯周浩鼎。 翌年立法會選舉，周浩鼎循區議會（第二）功能界別當選立法會議員。 2016年立法會選舉，曾為熱普城擔任新界西選區的街站義工。 2019年區議會選舉，王進洋捲土重來再次參選，選區亦因應周浩鼎的雙料議員身份得到傳媒關注。 ### 於選舉日，王進洋獲得藝人張惠雅支持，張主力批評周的地區工作不足，「唔好講做唔做到啲大事」、「净係講起個電梯都起咗幾年」。 王進洋最終取得5,049票，以逾1,400票之差击败周浩鼎勝選。 王進洋於2021年10月因宣誓無效而喪失議席，需即時離任。 他之後曾透露自己已另覓飲食業的新工作。 ### 2020年9月16日，由於東涌區内非法聚賭問題死灰復燃，王進洋前往非法聚賭人士聚賭地點，大聲朗讀非法聚賭人士手上的牌，打算阻止非法聚賭人士繼續非法聚賭，其中有非法聚賭人士不滿，出言恐嚇並作勢要襲擊王進洋。 翌日，當王進洋和助理在互助委員會幫助市民申請津貼時，其中一名非法聚賭人士突然闖入並搶去王進洋的手機，又推開一名市民使其撞傷腰部，其後該名施襲者衝前企圖襲擊王進洋助理，但被王進洋阻止，之後該名施襲者打算再衝前卻自己摔倒在地上，然而該名施襲者卻反過來誣告王進洋襲擊他並報警，當警察到場後，由於有受襲市民作證該名施襲者才是施襲的人，王進洋才得以不被該名施襲者反過來誣告。 2023年6月5日，警方以「以欺騙手段取得財產」罪拘捕王進洋，指他涉嫌與九宗「猜猜我是誰」電話騙案有關，涉案金額共97萬。 警方表示，在5月30日接獲一名90歲婆婆報案，聲稱接到不明來電，訛稱是她的兒子，因為牽涉刑事案件被捕，需要30萬元保釋金，並會找朋友上門收錢。 ### 婆婆同日將30萬現金交給一名男子，事後與家人商量後遂揭發事件。 警方之後於6月5日晚上在將軍澳處理一宗欠交罰款案件時，發現王進洋與上述案件有關，疑為上門到婆婆家中收錢的同一人，因此立即將他拘捕。 警方調查後，再發現王進洋與另外八宗發生於5月29日至6月5日多區的「猜猜我是誰」電話騙案有關，向八名介乎71至93歲的婆婆收取現金共67萬元，其中一宗案件更指使下線成員向受害人收錢。 被問到王進洋在詐騙集團中的角色，警方指王進洋一開始獲聘為收數人的角色，但隨時間演變「加重角色」，成為集團的上線成員，會安排下線成員收錢。",王進洋在2019年區議會選舉中獲得了哪些支持，並最終以什麼票數擊敗了周浩鼎？,王進洋在2023年6月因「猜猜我是誰」電話騙案被捕，警方指他在詐騙集團中扮演了什麼角色，並涉及了多少金額？
阮濟雲,1877年出生,阮濟雲（1877年—1959年4月），阮奇山之兄。 自幼與弟追隨欽州蛇形拳師郭寶全(老洪拳五形之一)，及紅船永春馮小青習拳多年，於1939年日本侵華時由廣東佛山移民安南河內（今越南河内），人稱阮濟或尊稱濟公，當地華人團體“南番順同分會”禮聘阮濟雲，前往廣寧山區鉛鋅礦場，為華人礦工傳授拳技以抗拒當地黑幫。 在河內停留四年期間，將拳術傳授給一批警官，之後阮濟雲曾在海防傳揚武技，最後於1954年定居西貢，1954年4月過世。 阮濟雲首創的永春內功拳包括蛇形洪拳、五形洪拳，小練頭、永春木人樁。 ### 今日越南傳人稱其拳為永春內功拳(VINH XUAN NOI GIA QUYEN)或蛇形永春拳 。 廣東話「濟雲」與「滯運」同音，所以很多時都減去雲字，自稱阮濟。 留下佛山傳人姚才及弟奇山，轉托於好友詠春名師吳仲素。 故導致阮奇山傳人錯誤將歷史混亂。 ### 稱其所授的是詠春拳、但奉郭寶全之師父欽州洪拳蛇形羅晚(公)為初祖。 套路除部分蛇形拳路、五形洪拳、紅船永春拳路外，還有小練頭，並無尋橋及標指之套路。 參見永春內家拳網內文章(Some Reflections on the Kungfu System of Vietnam Wing Chun) By Si-fu Nguyễn Ngọc Nội。,阮濟雲在河內期間為何受到當地華人團體“南番順同分會”的禮聘，並且他在當地傳授拳技的具體對象和目的為何？,
加茂站 (三重縣),1929年启用的铁路车站,加茂站（日语：加茂駅／かもえき Kamo eki */?）是位於三重縣鳥羽市岩倉町大野470番3號，近畿日本鐵道的志摩線車站。 車站編號為M82。 此站是三重縣最東鐵路站。 此站是建設路堤上的高架車站，設有2面2線的相對式月台。 ### 月台可容納2卡車廂。 此站沒有車站大樓，車站出入口直接連接月台。 候車室位於1號月台上。 此站是由鳥羽站管理的無人車站。 ### 此站沒有引入自動售票機，月台上設有乘車站證明書發行機。 根據「三重縣統計書」，以下列出近年1日平均乘車人次。 車站附近位於山中田園地帶。,请问加茂站的月台上是否设有自动售票机？若没有，替代设施是什么？,
T47/48次列车,中国铁路哈尔滨局集团有限公司,T47/48次列车是中国铁路运行于首都北京至黑龙江齐齐哈尔之间的特快旅客列车，由哈尔滨局集团齐齐哈尔客运段齐京车队负责客运任务。 列车使用兩組25K型客车，沿京哈铁路、滨洲铁路及平齐铁路运行，全程1537公里，途经北京、河北、辽宁、吉林及黑龙江4省1市。 年运行里程112.2万公里，年运载客流量近百万。 其中北京站至齐齐哈尔站运行14小时36分，使用车次为T47次；齐齐哈尔站至北京站运行14小时35分，使用车次为T48次。 ### 目前该车次运行均速位列中国铁路所有特快列车均速排行榜榜首。 列车曾连续17年获颁铁道部授予的“红旗列车”称号，并先后被评为全国窗口行业职业道德建设十佳单位、“全国青年文明号”、全路路风建设先进集体等荣誉。 1998年10月1日，哈尔滨铁路局新开北京至齐齐哈尔的K47/48次和北京至哈尔滨的K71/72次两对快速列车，2000年10月21日改为T47/48和T71/72次。 2002年1月20日，T47/48次列车被中国石油大庆炼化公司正式冠名为大庆炼化号，以进行企业形象宣传。 ### 2010年9月23日，大庆市政府再次冠名列车为“大庆旅游品牌专列”，乘客可在车厢内的海报、票卡、台布，展架彩贴上看到、在列车播音里听到关于大庆市旅游产品的介绍。 该列车于2015年9月被命名为“鹤城旅游号”，同时冠名的还有哈齐动车组列车以及齐齐哈尔至成都的K996/997、K998/995次列车（现已延至海拉尔）。 T47/48次列车使用配属哈爾濱局集團齊齊哈爾北车辆段的25K型客车，列车满编采取18节车厢编组，其中硬臥车12辆、軟臥車2輛，空調發電車、高級軟臥車、餐車和行李車各1辆。 2001年4月20日早晨6时20分，由北京开往齐齐哈尔的T47次列车在黑龙江省安达市安达站发生重大出轨事故，牵引机车（哈局三段 DF4D 3089）和13节车厢颠覆，造成2人死亡，2人重伤，25人轻伤，另外还有3名列车员受伤。 ### 事故的原因是机车乘务员在通过安达站站台时违章超速，进入岔道导致出轨。,T47/48次列车曾获哪些荣誉称号和奖项？请详细列举出其获奖历史及具体荣誉。,T47次列车在2001年安达站发生的重大出轨事故的具体原因是什么，以及事故造成了哪些具体伤亡情况？
原始波利尼西亚语,波利尼西亚语支,原始波利尼西亚语是一种根据所有现代的波利尼西亚语言所重建的原始语言。 历史语言学家已经采用了同样的历史比较法成功重建出了原始印欧语和原始乌拉尔语。 这种方法也被考古学和人种学的种种证据支持，这些证据都表明，波利尼西亚语的使用者的故土位于汤加、萨摩亚以及一些附近的岛屿。 原始波利尼西亚语的音系十分简洁，仅有13个辅音和5个元音。 ### 需要注意的是，*q在原始波利尼西亚语中很有可能可能是声门塞音[ʔ]. 原始波利尼西亚语有五个简单的元音：/a/ /e/ /i/ /o/ /u/，不区分长短元音。 但在一些子代语言中，多个元音连续组合时产生了长元音和双元音，并且在某些语言中这些长元音和双元音成为了独立音位，具有了区分语义的作用。 下表是一些词在各种波利尼西亚语中拼写差异的例子。 其中单引号“ʻ”表示声门塞音，即IPA/ʔ/；所有的“ng”和萨摩亚的“g”代表软腭鼻音/ŋ/. 字母“r”在此表示的是齿龈闪音/ɾ/而非颤音 /r/。,原始波利尼西亚语的音系有哪些特点？请详细说明其辅音和元音的分布及其在现代波利尼西亚语言中的演变。,原始波利尼西亚语中的声门塞音和软腭鼻音在不同波利尼西亚语言中的拼写差异是怎样的？请结合例子说明。
青岛北站,2014年启用的铁路车站,青岛北站位于中华人民共和国山东省青岛市李沧区振华路街道，是中国国家铁路和青岛地铁的一座铁路客运枢纽车站。 车站目前有胶济线、胶济客专线、青荣城际线和青盐线经过。 青岛北站及相关工程由山东省、原铁道部以《关于新建青岛北客站可行性研究报告的批复》《关于新建青岛北客站及相关工程初步设计的批复》《关于地铁一期工程（3号线）青岛北站（土建工程）初步设计的复函》批准建设，站址设在沧海路以南，太原路以北，原先为多年填海形成的垃圾填埋场，2009年开始平整场地[參⁠ 3][參⁠ 4][參⁠ 5]。 国铁部分项目业主和招标人为胶济铁路客运专线有限责任公司，由铁道部和青岛市共同筹资建设，项目资本金按35 %，其中铁道部出资51 %，青岛市出资49 %，其余资金利用银行贷款；工程于2010年3月17日奠基，工期44个月。 ### 2013年12月19日晚，经过青岛北站的新建3.2公里应急线拨入胶济线[參⁠ 6][參⁠ 7]，原沧口站同时封闭。 青岛北站于2014年1月10日正式启用[參⁠ 8]。 2016年7月，由本站经城阳客专场至即墨站的胶济客运专线新建线路及本站经娄山站、城阳胶济场至即墨站的胶济货线新建线路先后拨接开通[參⁠ 9]。 地铁3号线部分于2015年9月1日空载试运营，同年12月16日通车试运营，并于17日开始实行常态化运营[參⁠ 10]，2016年全线开通。 ### 青岛北站国铁部分现为青岛铁路枢纽内最大的铁路客运站，预计2025年的旅客发送量为1 800万人次，开行客车对数为75对，最高聚集人数为10 000人。 青岛北站站房由中铁二院、北京市建筑设计研究院和法国AREP设计公司共同设计，设计意象为海滨港口与展翅的海鸥。 地面站房为跨线站房，建筑宽度147.10米，进深276米，总高45米，总建筑面积68828平方米（不含地下二、三层），其中客运建筑面积4.4万平方米。 站台无柱雨棚覆盖面积72800平方米，结构体系主要由大型拱形空间钢结构站房和无柱站台雨棚组成。 ### [參⁠ 11] 站房为地上两层、地下三层，局部设置夹层：地上一层为国铁站台层，建筑面积12077平方米，设有18条线路14个站台；地上二层为高架国铁候车层，建筑面积31447平方米，可同时容纳1万人候车；地下一层为出站、综合换乘通道和地铁站厅层，地下二三层为地铁站台层。 东西两侧各设广场一个。 站房设计时，运用风洞模拟青岛气候条件，创造了自然通风体系，以达到候车大厅每年减少30%空调能耗的目的。 车站的售票系统以旅客自助式售票为主，分为东西两个售票厅：东售票厅设置8个人工售票窗口（其中无障碍窗口1个）、26台自动售取票机；西售票厅设置6个人工售票窗口（其中无障碍窗口1个）、18台自动售取票机。 ### 登车检票口设有自动检票系统。 地面站台层东西两侧为进站广厅，各设置6台实名制查验仪和4台查危仪。 [參⁠ 12] 青岛北站站场规模8台18线，为混合式布置，但车场自西向东可分为高速直通场、城际到发场和普速及货车到发场，各场在咽喉间通过道岔互相联通。 车站北侧上行咽喉引入7线，自西向东分别为胶济客专正线2条、青荣城际铁路正线2条、青盐铁路正线2条和胶济货车线1条，邻站分别为城阳站胶济场、城阳站青荣场、红岛站和娄山站；车站南侧下行咽喉引入4线，分别为胶济客专和胶济三四线（既有货线及动车走行线），邻站分别为四方站和沙岭庄站（及动车所）。,青岛北站的站房设计是如何运用风洞模拟青岛气候条件来减少候车大厅的空调能耗的？,
Ё,含有未確定語言的條目,"Ё, ё（称呼为 ё, jo）是一个西里尔字母。 在俄语中， Ё, ё 字母顶上的两点，很多时都被省去，变成 Е, е。 但在白俄罗斯语和卢森尼亚语中，Ё, ё 字母顶上的两点是不能省去的。 在俄语、白俄罗斯语字母中排第7位，在卢森尼亚语字母中排第9位。 ### 通常为腭化元音 /ʲo/。 当跟在 ж, ч, ш 及 щ 之后时，只发 /o/ 音。 另外，在俄语中 Ё, ё 是惯性的重音，有Ё, ё的单词的重音位必定是属於 Ё, ё，所以词典和教学工具一般都会省略掉这些单词的重音记号。","在俄语中，Ё, ё 字母的重音特性是怎样影响词典和教学工具中重音记号的使用的？",
海啸奇迹,2004年南亞大海嘯,《海啸奇迹》（西班牙語：Lo Imposible，英語：The Impossible）是一部2012年美国和西班牙合拍的灾难片，由导演胡安·安东尼奥·巴亚纳执导，Sergio G. Sánchez（英语：Sergio G. Sánchez）编剧。 根据西班牙医生María Belón与她家人在2004年印度洋大地震中的真实经历改编而成。 娜奥米·沃茨、伊万·迈克格雷戈主演。 美国、西班牙于2012年10月11日上映，中国于2013年8月29日上映。 ### 本片收获了很好的口碑，女主角娜奥米·沃茨获得奥斯卡最佳女主角提名。 玛莉亚和亨利带着三个儿子，一同前往泰国共渡圣诞假期，不料就在12月26日，在泳池旁享受着悠闲时光的一家人与众人遭遇到了海啸。 巨浪袭卷了许多人，把亨利一家冲散。 后来玛莉亚与大儿子卢卡斯逃亡到了一起，途中还救了一名小男孩，她悲观地以为丈夫和两名小儿子已经遇难。 ### 受重伤的玛莉亚得到当地人的救助并被送到了一家医院接受治疗。 另一边，亨利与另外两个儿子幸存到了一起，亨利急迫寻找着玛莉亚与儿子卢卡斯。 最终双方在医院重逢团圆，其後在保險公司協助下，玛莉亚和家人乘坐安排的飞机到新加坡的医院进行治疗。 西班牙收获5453万美元。 ### 中国大陆首周四天收获2900万人民币列第五位；次周收1900万列第六。,《海啸奇迹》这部电影中，玛莉亚在获救后是如何与家人团聚的，并且最后他们去了哪里接受进一步治疗？,《海啸奇迹》在中国大陆上映后的票房表现如何？
夏延縣 (內布拉斯加州),內布拉斯加州行政區劃,"夏延縣（英語：Cheyenne County）是美國內布拉斯加州西部的一個縣，南鄰科羅拉多州。 面積3,099平方公里。 根據美國2000年人口普查，共有人口9,830人。 縣治西尼 (Sidney)。 ### 成立於1867年。 縣名紀念當地的原住民夏延族。",夏延縣的縣治是哪個城市？它的面積是多少平方公里？,
近地轨道,使用2號參數傳遞Portal模板圖像的頁面,近地轨道，又称低地球轨道（英語：Low Earth orbit），是指航天器距离地面高度较低的轨道。 近地轨道没有公认的严格定义。 一般高度在2000公里以下的近圆形轨道都可以称之为近地轨道。 由于近地轨道卫星离地面较近，绝大多数对地观测卫星、测地卫星、空间站以及一些新的通信卫星系统都采用近地轨道。 ### 在近地軌道的物體仍然受熱層（離地約80至500公里）或外氣層（離地約500-1000公里以外）的氣體阻力影響，視乎軌道的高度而定。 近地軌道在大氣層與內范艾倫輻射帶之間，高度通常不低於300公里，否則軌道會因為大氣阻力而變得無用。 国际空间站在一个距离地球表面319.6km到346.9km的轨道上运行。 大多数人造卫星也在近地轨道上，它们的运行速度大约是27400km/h，环绕地球一周的时间大约在90分钟左右，而很多通讯卫星需要以和地球同样的角速度运行。 ### 相比地球同步轨道，把一枚衛星放上近地軌道所需的能量較少，而近地衛星僅需功率較低的放大器也可成功輸送訊號，因此許多通訊項目使用了近地軌道。 這些近地軌道不是與地球同步，所以需要一組衛星聯網去提供連續的覆蓋面。 近地軌道也適合遙感衛星，因為可以取得更詳細的資料。 近地軌道一帶的太空垃圾越來越多，近年對此的關注也日益增加，因為軌道上的高速碰撞可以造成大的損害或危險，及製造更多垃圾。,近地轨道的卫星在运行过程中如何受到热层和外气层的气体阻力影响，其高度阈值是多少？,为什么许多通信项目选择使用近地轨道，近地轨道卫星需要借助什么方法提供连续覆盖？
共和国卫士,1989年建立的奖项,共和国卫士是中華人民共和國政府在1989年6月4日平息六四事件之後，由當時的國務院總理李鵬、中央军委主席邓小平親自向在事件中有功勞或重傷、殉职的軍人頒授或追授的荣誉称号。 共和國衛士共37人：死者15人、生者22人，分5批授予。 授賞者會得到一枚銅質獎章，上有鄧小平親筆書寫的五個字「共和国卫士」的浮雕。 中华人民共和国官方也制作了同名的纪录片和书籍，讲述平息六四天安门事件的过程。 ### 另外參與或輕傷者尙有獲贈一些不記名的小紀念品，例如北京市贈與一線人員手錶等物品。 历史学者吴仁华整理共和国卫士中的死者名单如下： 这15名军警的死亡时间和地点如下： 陆军第63集团军排长刘国庚死于1989年6月4日凌晨4点钟左右，地点在西长安街上的西单路口东约150米处。 陆军第38集团军6名士兵王其富、李强、杜怀庆、李栋国、王小兵、徐如军死于1989年6月4日凌晨1点10分左右，地点在西长安街上往西延长线上的翠微路路口，翻车起火而被烧死。 據人民日報報導，四连乘坐的卡车於6月4日凌晨行至翠微路，被砖石雨袭擊翻倒起火，车上的38人被笼罩在火中。 ### 前座上的保卫干事王强指揮救援，被稱為「共和国卫士」。 陆军第39集团军士兵崔国政死于1989年6月4日凌晨4点40分左右，地点在天安门广场南面的崇文门过街天桥（位于北京市崇文区）附近。 陆军第54集团军代理排长马国选于1989年6月4日凌晨1点钟左右在北京市宣武区的菜市口附近身负重伤，被送往武装警察部队医院抢救无效死亡。 陆军第54集团军中尉参谋王锦伟死于1989年6月4日凌晨4点30分，地点在北京市宣武区的南新华街。 ### 武警部队北京市总队士兵李国瑞于1989年6月4日凌晨5点钟许在北京市西城区的阜成门立交桥身负重伤，被送往北京人民医院抢救无效死亡。 武警部队北京市总队士兵刘艳坡于1989年6月4日凌晨1点钟许在西长安街上的西单路口身负重伤，被送往北京人民医院抢救无效死亡。 陆军第39集团军少校干事于荣禄死于1989年6月4日2点钟左右，死亡地点不详。 陆军第39集团军士兵臧立杰于1989年6月7日与同伴乘坐军车路过北京市东城区的建国门时，被从外交公寓里射出的子弹击中面部，当场身亡。 ### 陆军第24集团军排长王景生于1989年7月4日在巡逻执勤中突然病发死亡。 1989年7月，八一电影制片厂出品，中國人民解放軍總政治部編製的全四集新闻纪录片《飘扬，共和国的旗帜》，作为国庆40周年献礼片。 该片于1990年获第一届全国电影制片厂优秀摄影组“骏马奖”短片优秀摄制组奖。 这部纪录片有时被称为「《共和国卫士》」。,共和国卫士中有哪些人在1989年6月4日凌晨4点左右牺牲，他们的具体死亡地点在哪里？,1989年6月4日，在北京市西长安街上的西单路口和翠微路路口分别发生了什么事件，导致了哪些军警的伤亡？
先烈路 (珠海),全部小作品,先烈路位于中国珠海市，为一条呈东西走向的一般道路。 其西南起凤凰南路，东北接情侣中路。 先烈路全长185米，宽约11米。 西向東單向3车道行驶。 ### 先烈路于1980年代建成，1985年命名，因西南侧靠珠海市烈士陵园。 2009年，先烈路西南侧路段实施单行。,先烈路的命名由来是什么？请详细说明其历史背景。,先烈路的交通路线和方向是如何规划的？请具体描述其单行段的实施时间和位置。
